first,last,party,id,votes,avotes,electoral,winner,incumbent,percent,state,fips,rating
Donald,Trump,GOP,8639,14438,0,,X,True,0.7126,TN,47021,likely-r
Joe,Biden,Dem,1036,5514,0,,,,0.2722,TN,47021,likely-r
Jo,Jorgensen,Lib,67957,205,0,,,,0.0101,TN,47021,likely-r
Don,Blankenship,Ind,66288,31,0,,,,0.0015,TN,47021,likely-r
Howie,Hawkins,Ind,32916,27,0,,,,0.0013,TN,47021,likely-r
Kanye,West,Ind,69343,24,0,,,,0.0012,TN,47021,likely-r
Roque,De La Fuente,Ind,64542,15,0,,,,0.0007,TN,47021,likely-r
Alyson,Kennedy,Ind,65352,5,0,,,,0.0002,TN,47021,likely-r
Gloria,La Riva,Ind,7623,1,0,,,,0.0,TN,47021,likely-r
Donald,Trump,GOP,8639,5952,4236,,X,True,0.7851,TN,47023,likely-r
Joe,Biden,Dem,1036,1412,1097,,,,0.1863,TN,47023,likely-r
Jo,Jorgensen,Lib,67957,87,40,,,,0.0115,TN,47023,likely-r
Kanye,West,Ind,69343,71,44,,,,0.0094,TN,47023,likely-r
Don,Blankenship,Ind,66288,23,16,,,,0.003,TN,47023,likely-r
Alyson,Kennedy,Ind,65352,15,13,,,,0.002,TN,47023,likely-r
Roque,De La Fuente,Ind,64542,8,7,,,,0.0011,TN,47023,likely-r
Howie,Hawkins,Ind,32916,7,2,,,,0.0009,TN,47023,likely-r
Gloria,La Riva,Ind,7623,6,3,,,,0.0008,TN,47023,likely-r
Donald,Trump,GOP,8639,10604,7159,,X,True,0.8193,TN,47025,likely-r
Joe,Biden,Dem,1036,2202,1682,,,,0.1701,TN,47025,likely-r
Jo,Jorgensen,Lib,67957,83,46,,,,0.0064,TN,47025,likely-r
Kanye,West,Ind,69343,22,12,,,,0.0017,TN,47025,likely-r
Don,Blankenship,Ind,66288,11,7,,,,0.0008,TN,47025,likely-r
Alyson,Kennedy,Ind,65352,8,5,,,,0.0006,TN,47025,likely-r
Roque,De La Fuente,Ind,64542,7,3,,,,0.0005,TN,47025,likely-r
Howie,Hawkins,Ind,32916,6,4,,,,0.0005,TN,47025,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47025,likely-r
Donald,Trump,GOP,8639,2733,1780,,X,True,0.7795,TN,47027,likely-r
Joe,Biden,Dem,1036,735,571,,,,0.2096,TN,47027,likely-r
Jo,Jorgensen,Lib,67957,22,14,,,,0.0063,TN,47027,likely-r
Don,Blankenship,Ind,66288,5,2,,,,0.0014,TN,47027,likely-r
Howie,Hawkins,Ind,32916,4,1,,,,0.0011,TN,47027,likely-r
Kanye,West,Ind,69343,4,2,,,,0.0011,TN,47027,likely-r
Alyson,Kennedy,Ind,65352,2,1,,,,0.0006,TN,47027,likely-r
Roque,De La Fuente,Ind,64542,1,0,,,,0.0003,TN,47027,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47027,likely-r
Donald,Trump,GOP,8639,12162,8269,,X,True,0.8185,TN,47029,likely-r
Joe,Biden,Dem,1036,2533,1967,,,,0.1705,TN,47029,likely-r
Jo,Jorgensen,Lib,67957,93,52,,,,0.0063,TN,47029,likely-r
Howie,Hawkins,Ind,32916,23,18,,,,0.0015,TN,47029,likely-r
Kanye,West,Ind,69343,20,12,,,,0.0013,TN,47029,likely-r
Don,Blankenship,Ind,66288,12,9,,,,0.0008,TN,47029,likely-r
Alyson,Kennedy,Ind,65352,7,5,,,,0.0005,TN,47029,likely-r
Roque,De La Fuente,Ind,64542,5,1,,,,0.0003,TN,47029,likely-r
Gloria,La Riva,Ind,7623,4,2,,,,0.0003,TN,47029,likely-r
Donald,Trump,GOP,8639,17883,11588,,X,True,0.7365,TN,47031,likely-r
Joe,Biden,Dem,1036,5705,3813,,,,0.2349,TN,47031,likely-r
Jo,Jorgensen,Lib,67957,242,132,,,,0.01,TN,47031,likely-r
Kanye,West,Ind,69343,219,129,,,,0.009,TN,47031,likely-r
Alyson,Kennedy,Ind,65352,71,40,,,,0.0029,TN,47031,likely-r
Don,Blankenship,Ind,66288,59,26,,,,0.0024,TN,47031,likely-r
Howie,Hawkins,Ind,32916,49,25,,,,0.002,TN,47031,likely-r
Gloria,La Riva,Ind,7623,30,18,,,,0.0012,TN,47031,likely-r
Roque,De La Fuente,Ind,64542,24,11,,,,0.001,TN,47031,likely-r
Donald,Trump,GOP,8639,4673,3192,,X,True,0.7643,TN,47033,likely-r
Joe,Biden,Dem,1036,1382,1045,,,,0.226,TN,47033,likely-r
Jo,Jorgensen,Lib,67957,30,18,,,,0.0049,TN,47033,likely-r
Kanye,West,Ind,69343,12,7,,,,0.002,TN,47033,likely-r
Howie,Hawkins,Ind,32916,6,3,,,,0.001,TN,47033,likely-r
Alyson,Kennedy,Ind,65352,4,4,,,,0.0007,TN,47033,likely-r
Don,Blankenship,Ind,66288,3,1,,,,0.0005,TN,47033,likely-r
Roque,De La Fuente,Ind,64542,3,1,,,,0.0005,TN,47033,likely-r
Gloria,La Riva,Ind,7623,1,1,,,,0.0002,TN,47033,likely-r
Donald,Trump,GOP,8639,25168,17195,,X,True,0.7797,TN,47035,likely-r
Joe,Biden,Dem,1036,6728,5511,,,,0.2084,TN,47035,likely-r
Jo,Jorgensen,Lib,67957,232,122,,,,0.0072,TN,47035,likely-r
Don,Blankenship,Ind,66288,62,46,,,,0.0019,TN,47035,likely-r
Kanye,West,Ind,69343,35,17,,,,0.0011,TN,47035,likely-r
Howie,Hawkins,Ind,32916,31,23,,,,0.001,TN,47035,likely-r
Alyson,Kennedy,Ind,65352,13,7,,,,0.0004,TN,47035,likely-r
Roque,De La Fuente,Ind,64542,9,7,,,,0.0003,TN,47035,likely-r
Gloria,La Riva,Ind,7623,1,1,,,,0.0,TN,47035,likely-r
Joe,Biden,Dem,1036,199703,171859,,,,0.6452,TN,47037,likely-r
Donald,Trump,GOP,8639,100218,74619,,X,True,0.3238,TN,47037,likely-r
Jo,Jorgensen,Lib,67957,3543,2291,,,,0.0114,TN,47037,likely-r
Kanye,West,Ind,69343,2601,1619,,,,0.0084,TN,47037,likely-r
Gloria,La Riva,Ind,7623,1072,732,,,,0.0035,TN,47037,likely-r
Howie,Hawkins,Ind,32916,729,510,,,,0.0024,TN,47037,likely-r
Alyson,Kennedy,Ind,65352,632,463,,,,0.002,TN,47037,likely-r
Don,Blankenship,Ind,66288,600,410,,,,0.0019,TN,47037,likely-r
Roque,De La Fuente,Ind,64542,421,271,,,,0.0014,TN,47037,likely-r
Donald,Trump,GOP,8639,4229,141,,X,True,0.8069,TN,47039,likely-r
Joe,Biden,Dem,1036,904,107,,,,0.1725,TN,47039,likely-r
Kanye,West,Ind,69343,42,0,,,,0.008,TN,47039,likely-r
Jo,Jorgensen,Lib,67957,21,2,,,,0.004,TN,47039,likely-r
Don,Blankenship,Ind,66288,15,0,,,,0.0029,TN,47039,likely-r
Alyson,Kennedy,Ind,65352,12,0,,,,0.0023,TN,47039,likely-r
Howie,Hawkins,Ind,32916,10,2,,,,0.0019,TN,47039,likely-r
Gloria,La Riva,Ind,7623,4,0,,,,0.0008,TN,47039,likely-r
Roque,De La Fuente,Ind,64542,4,0,,,,0.0008,TN,47039,likely-r
Donald,Trump,GOP,8639,6672,3828,,X,True,0.7837,TN,47041,likely-r
Joe,Biden,Dem,1036,1750,1226,,,,0.2056,TN,47041,likely-r
Jo,Jorgensen,Lib,67957,60,25,,,,0.007,TN,47041,likely-r
Don,Blankenship,Ind,66288,9,4,,,,0.0011,TN,47041,likely-r
Kanye,West,Ind,69343,9,1,,,,0.0011,TN,47041,likely-r
Howie,Hawkins,Ind,32916,6,3,,,,0.0007,TN,47041,likely-r
Roque,De La Fuente,Ind,64542,4,3,,,,0.0005,TN,47041,likely-r
Gloria,La Riva,Ind,7623,2,1,,,,0.0002,TN,47041,likely-r
Alyson,Kennedy,Ind,65352,1,1,,,,0.0001,TN,47041,likely-r
Donald,Trump,GOP,8639,17643,10973,,X,True,0.7254,TN,47043,likely-r
Joe,Biden,Dem,1036,6106,3826,,,,0.251,TN,47043,likely-r
Jo,Jorgensen,Lib,67957,260,141,,,,0.0107,TN,47043,likely-r
Kanye,West,Ind,69343,134,72,,,,0.0055,TN,47043,likely-r
Don,Blankenship,Ind,66288,55,26,,,,0.0023,TN,47043,likely-r
Howie,Hawkins,Ind,32916,40,18,,,,0.0016,TN,47043,likely-r
Alyson,Kennedy,Ind,65352,39,27,,,,0.0016,TN,47043,likely-r
Gloria,La Riva,Ind,7623,29,21,,,,0.0012,TN,47043,likely-r
Roque,De La Fuente,Ind,64542,17,12,,,,0.0007,TN,47043,likely-r
Donald,Trump,GOP,8639,11768,8615,,X,True,0.7805,TN,47045,likely-r
Joe,Biden,Dem,1036,3158,2470,,,,0.2095,TN,47045,likely-r
Jo,Jorgensen,Lib,67957,96,58,,,,0.0064,TN,47045,likely-r
Don,Blankenship,Ind,66288,16,7,,,,0.0011,TN,47045,likely-r
Kanye,West,Ind,69343,13,8,,,,0.0009,TN,47045,likely-r
Alyson,Kennedy,Ind,65352,9,6,,,,0.0006,TN,47045,likely-r
Roque,De La Fuente,Ind,64542,9,3,,,,0.0006,TN,47045,likely-r
Howie,Hawkins,Ind,32916,7,4,,,,0.0005,TN,47045,likely-r
Gloria,La Riva,Ind,7623,1,1,,,,0.0001,TN,47045,likely-r
Donald,Trump,GOP,8639,15690,10917,,X,True,0.6826,TN,47047,likely-r
Joe,Biden,Dem,1036,7027,4906,,,,0.3057,TN,47047,likely-r
Jo,Jorgensen,Lib,67957,145,79,,,,0.0063,TN,47047,likely-r
Kanye,West,Ind,69343,42,23,,,,0.0018,TN,47047,likely-r
Howie,Hawkins,Ind,32916,30,20,,,,0.0013,TN,47047,likely-r
Don,Blankenship,Ind,66288,18,10,,,,0.0008,TN,47047,likely-r
Alyson,Kennedy,Ind,65352,16,5,,,,0.0007,TN,47047,likely-r
Roque,De La Fuente,Ind,64542,9,6,,,,0.0004,TN,47047,likely-r
Gloria,La Riva,Ind,7623,7,5,,,,0.0003,TN,47047,likely-r
Donald,Trump,GOP,8639,7441,5386,,X,True,0.8524,TN,47049,likely-r
Joe,Biden,Dem,1036,1214,954,,,,0.1391,TN,47049,likely-r
Jo,Jorgensen,Lib,67957,36,22,,,,0.0041,TN,47049,likely-r
Don,Blankenship,Ind,66288,18,14,,,,0.0021,TN,47049,likely-r
Kanye,West,Ind,69343,10,3,,,,0.0011,TN,47049,likely-r
Howie,Hawkins,Ind,32916,6,4,,,,0.0007,TN,47049,likely-r
Alyson,Kennedy,Ind,65352,2,2,,,,0.0002,TN,47049,likely-r
Roque,De La Fuente,Ind,64542,2,2,,,,0.0002,TN,47049,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47049,likely-r
Donald,Trump,GOP,8639,13987,7463,,X,True,0.7313,TN,47051,likely-r
Joe,Biden,Dem,1036,4864,3060,,,,0.2543,TN,47051,likely-r
Jo,Jorgensen,Lib,67957,164,82,,,,0.0086,TN,47051,likely-r
Kanye,West,Ind,69343,33,11,,,,0.0017,TN,47051,likely-r
Don,Blankenship,Ind,66288,30,15,,,,0.0016,TN,47051,likely-r
Howie,Hawkins,Ind,32916,27,16,,,,0.0014,TN,47051,likely-r
Gloria,La Riva,Ind,7623,8,7,,,,0.0004,TN,47051,likely-r
Alyson,Kennedy,Ind,65352,7,1,,,,0.0004,TN,47051,likely-r
Roque,De La Fuente,Ind,64542,7,4,,,,0.0004,TN,47051,likely-r
Donald,Trump,GOP,8639,16259,10521,,X,True,0.7282,TN,47053,likely-r
Joe,Biden,Dem,1036,5771,3955,,,,0.2585,TN,47053,likely-r
Jo,Jorgensen,Lib,67957,160,92,,,,0.0072,TN,47053,likely-r
Don,Blankenship,Ind,66288,48,30,,,,0.0021,TN,47053,likely-r
Howie,Hawkins,Ind,32916,32,14,,,,0.0014,TN,47053,likely-r
Kanye,West,Ind,69343,31,13,,,,0.0014,TN,47053,likely-r
Alyson,Kennedy,Ind,65352,15,8,,,,0.0007,TN,47053,likely-r
Roque,De La Fuente,Ind,64542,8,4,,,,0.0004,TN,47053,likely-r
Gloria,La Riva,Ind,7623,5,2,,,,0.0002,TN,47053,likely-r
Donald,Trump,GOP,8639,9784,0,,X,True,0.741,TN,47055,likely-r
Joe,Biden,Dem,1036,3298,0,,,,0.2498,TN,47055,likely-r
Jo,Jorgensen,Lib,67957,68,0,,,,0.0052,TN,47055,likely-r
Kanye,West,Ind,69343,22,0,,,,0.0017,TN,47055,likely-r
Don,Blankenship,Ind,66288,14,0,,,,0.0011,TN,47055,likely-r
Howie,Hawkins,Ind,32916,9,0,,,,0.0007,TN,47055,likely-r
Alyson,Kennedy,Ind,65352,3,0,,,,0.0002,TN,47055,likely-r
Roque,De La Fuente,Ind,64542,3,0,,,,0.0002,TN,47055,likely-r
Gloria,La Riva,Ind,7623,2,0,,,,0.0002,TN,47055,likely-r
Donald,Trump,GOP,8639,8565,0,,X,True,0.8453,TN,47057,likely-r
Joe,Biden,Dem,1036,1467,0,,,,0.1448,TN,47057,likely-r
Jo,Jorgensen,Lib,67957,61,0,,,,0.006,TN,47057,likely-r
Kanye,West,Ind,69343,13,0,,,,0.0013,TN,47057,likely-r
Don,Blankenship,Ind,66288,12,0,,,,0.0012,TN,47057,likely-r
Howie,Hawkins,Ind,32916,9,0,,,,0.0009,TN,47057,likely-r
Alyson,Kennedy,Ind,65352,2,0,,,,0.0002,TN,47057,likely-r
Gloria,La Riva,Ind,7623,2,0,,,,0.0002,TN,47057,likely-r
Roque,De La Fuente,Ind,64542,2,0,,,,0.0002,TN,47057,likely-r
Donald,Trump,GOP,8639,22259,10255,,X,True,0.7925,TN,47059,likely-r
Joe,Biden,Dem,1036,5199,2342,,,,0.1851,TN,47059,likely-r
Jo,Jorgensen,Lib,67957,205,69,,,,0.0073,TN,47059,likely-r
Kanye,West,Ind,69343,180,61,,,,0.0064,TN,47059,likely-r
Don,Blankenship,Ind,66288,87,33,,,,0.0031,TN,47059,likely-r
Howie,Hawkins,Ind,32916,64,26,,,,0.0023,TN,47059,likely-r
Alyson,Kennedy,Ind,65352,58,29,,,,0.0021,TN,47059,likely-r
Gloria,La Riva,Ind,7623,23,10,,,,0.0008,TN,47059,likely-r
Roque,De La Fuente,Ind,64542,11,4,,,,0.0004,TN,47059,likely-r
Donald,Trump,GOP,8639,4802,0,,X,True,0.8203,TN,47061,likely-r
Joe,Biden,Dem,1036,988,0,,,,0.1688,TN,47061,likely-r
Jo,Jorgensen,Lib,67957,34,0,,,,0.0058,TN,47061,likely-r
Don,Blankenship,Ind,66288,11,0,,,,0.0019,TN,47061,likely-r
Howie,Hawkins,Ind,32916,9,0,,,,0.0015,TN,47061,likely-r
Kanye,West,Ind,69343,6,0,,,,0.001,TN,47061,likely-r
Roque,De La Fuente,Ind,64542,3,0,,,,0.0005,TN,47061,likely-r
Alyson,Kennedy,Ind,65352,1,0,,,,0.0002,TN,47061,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47061,likely-r
Donald,Trump,GOP,8639,18811,12192,,X,True,0.7637,TN,47063,likely-r
Joe,Biden,Dem,1036,5500,3947,,,,0.2233,TN,47063,likely-r
Jo,Jorgensen,Lib,67957,195,84,,,,0.0079,TN,47063,likely-r
Kanye,West,Ind,69343,37,12,,,,0.0015,TN,47063,likely-r
Don,Blankenship,Ind,66288,33,21,,,,0.0013,TN,47063,likely-r
Howie,Hawkins,Ind,32916,20,11,,,,0.0008,TN,47063,likely-r
Alyson,Kennedy,Ind,65352,17,9,,,,0.0007,TN,47063,likely-r
Roque,De La Fuente,Ind,64542,10,4,,,,0.0004,TN,47063,likely-r
Gloria,La Riva,Ind,7623,8,5,,,,0.0003,TN,47063,likely-r
Donald,Trump,GOP,8639,92108,49061,,X,True,0.5386,TN,47065,likely-r
Joe,Biden,Dem,1036,75522,54283,,,,0.4416,TN,47065,likely-r
Jo,Jorgensen,Lib,67957,2229,975,,,,0.013,TN,47065,likely-r
Kanye,West,Ind,69343,393,150,,,,0.0023,TN,47065,likely-r
Don,Blankenship,Ind,66288,281,132,,,,0.0016,TN,47065,likely-r
Howie,Hawkins,Ind,32916,273,134,,,,0.0016,TN,47065,likely-r
Roque,De La Fuente,Ind,64542,82,37,,,,0.0005,TN,47065,likely-r
Alyson,Kennedy,Ind,65352,66,26,,,,0.0004,TN,47065,likely-r
Gloria,La Riva,Ind,7623,62,24,,,,0.0004,TN,47065,likely-r
Donald,Trump,GOP,8639,2372,0,,X,True,0.8644,TN,47067,likely-r
Joe,Biden,Dem,1036,362,0,,,,0.1319,TN,47067,likely-r
Don,Blankenship,Ind,66288,5,0,,,,0.0018,TN,47067,likely-r
Jo,Jorgensen,Lib,67957,4,0,,,,0.0015,TN,47067,likely-r
Kanye,West,Ind,69343,1,0,,,,0.0004,TN,47067,likely-r
Alyson,Kennedy,Ind,65352,0,0,,,,0.0,TN,47067,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47067,likely-r
Roque,De La Fuente,Ind,64542,0,0,,,,0.0,TN,47067,likely-r
Howie,Hawkins,Ind,32916,0,0,,,,0.0,TN,47067,likely-r
Donald,Trump,GOP,8639,5760,0,,X,True,0.5726,TN,47069,likely-r
Joe,Biden,Dem,1036,4180,0,,,,0.4155,TN,47069,likely-r
Jo,Jorgensen,Lib,67957,40,0,,,,0.004,TN,47069,likely-r
Don,Blankenship,Ind,66288,35,0,,,,0.0035,TN,47069,likely-r
Kanye,West,Ind,69343,13,0,,,,0.0013,TN,47069,likely-r
Alyson,Kennedy,Ind,65352,11,0,,,,0.0011,TN,47069,likely-r
Howie,Hawkins,Ind,32916,8,0,,,,0.0008,TN,47069,likely-r
Roque,De La Fuente,Ind,64542,7,0,,,,0.0007,TN,47069,likely-r
Gloria,La Riva,Ind,7623,6,0,,,,0.0006,TN,47069,likely-r
Donald,Trump,GOP,8639,9559,6025,,X,True,0.8285,TN,47071,likely-r
Joe,Biden,Dem,1036,1775,1086,,,,0.1538,TN,47071,likely-r
Kanye,West,Ind,69343,70,35,,,,0.0061,TN,47071,likely-r
Jo,Jorgensen,Lib,67957,52,33,,,,0.0045,TN,47071,likely-r
Alyson,Kennedy,Ind,65352,28,14,,,,0.0024,TN,47071,likely-r
Don,Blankenship,Ind,66288,28,3,,,,0.0024,TN,47071,likely-r
Gloria,La Riva,Ind,7623,13,11,,,,0.0011,TN,47071,likely-r
Roque,De La Fuente,Ind,64542,7,3,,,,0.0006,TN,47071,likely-r
Howie,Hawkins,Ind,32916,6,4,,,,0.0005,TN,47071,likely-r
Donald,Trump,GOP,8639,20405,13580,,X,True,0.822,TN,47073,likely-r
Joe,Biden,Dem,1036,4083,3130,,,,0.1645,TN,47073,likely-r
Jo,Jorgensen,Lib,67957,208,111,,,,0.0084,TN,47073,likely-r
Don,Blankenship,Ind,66288,42,26,,,,0.0017,TN,47073,likely-r
Kanye,West,Ind,69343,32,17,,,,0.0013,TN,47073,likely-r
Howie,Hawkins,Ind,32916,26,19,,,,0.001,TN,47073,likely-r
Alyson,Kennedy,Ind,65352,10,5,,,,0.0004,TN,47073,likely-r
Roque,De La Fuente,Ind,64542,10,7,,,,0.0004,TN,47073,likely-r
Gloria,La Riva,Ind,7623,8,6,,,,0.0003,TN,47073,likely-r
Joe,Biden,Dem,1036,4012,2893,,,,0.5395,TN,47075,likely-r
Donald,Trump,GOP,8639,3343,2144,,X,True,0.4495,TN,47075,likely-r
Jo,Jorgensen,Lib,67957,31,20,,,,0.0042,TN,47075,likely-r
Kanye,West,Ind,69343,15,8,,,,0.002,TN,47075,likely-r
Don,Blankenship,Ind,66288,15,5,,,,0.002,TN,47075,likely-r
Howie,Hawkins,Ind,32916,7,3,,,,0.0009,TN,47075,likely-r
Alyson,Kennedy,Ind,65352,7,4,,,,0.0009,TN,47075,likely-r
Roque,De La Fuente,Ind,64542,4,3,,,,0.0005,TN,47075,likely-r
Gloria,La Riva,Ind,7623,3,0,,,,0.0004,TN,47075,likely-r
Donald,Trump,GOP,8639,9797,6568,,X,True,0.8151,TN,47077,likely-r
Joe,Biden,Dem,1036,2092,1449,,,,0.174,TN,47077,likely-r
Jo,Jorgensen,Lib,67957,80,47,,,,0.0067,TN,47077,likely-r
Don,Blankenship,Ind,66288,17,10,,,,0.0014,TN,47077,likely-r
Kanye,West,Ind,69343,14,5,,,,0.0012,TN,47077,likely-r
Alyson,Kennedy,Ind,65352,7,3,,,,0.0006,TN,47077,likely-r
Howie,Hawkins,Ind,32916,6,3,,,,0.0005,TN,47077,likely-r
Roque,De La Fuente,Ind,64542,4,1,,,,0.0003,TN,47077,likely-r
Gloria,La Riva,Ind,7623,3,2,,,,0.0002,TN,47077,likely-r
Donald,Trump,GOP,8639,11239,7708,,X,True,0.7471,TN,47079,likely-r
Joe,Biden,Dem,1036,3548,2817,,,,0.2358,TN,47079,likely-r
Jo,Jorgensen,Lib,67957,164,86,,,,0.0109,TN,47079,likely-r
Don,Blankenship,Ind,66288,25,15,,,,0.0017,TN,47079,likely-r
Kanye,West,Ind,69343,24,16,,,,0.0016,TN,47079,likely-r
Howie,Hawkins,Ind,32916,20,16,,,,0.0013,TN,47079,likely-r
Roque,De La Fuente,Ind,64542,12,9,,,,0.0008,TN,47079,likely-r
Alyson,Kennedy,Ind,65352,7,4,,,,0.0005,TN,47079,likely-r
Gloria,La Riva,Ind,7623,5,3,,,,0.0003,TN,47079,likely-r
Donald,Trump,GOP,8639,7577,5161,,X,True,0.7706,TN,47081,likely-r
Joe,Biden,Dem,1036,2130,1650,,,,0.2166,TN,47081,likely-r
Jo,Jorgensen,Lib,67957,74,30,,,,0.0075,TN,47081,likely-r
Kanye,West,Ind,69343,17,8,,,,0.0017,TN,47081,likely-r
Don,Blankenship,Ind,66288,15,11,,,,0.0015,TN,47081,likely-r
Howie,Hawkins,Ind,32916,6,3,,,,0.0006,TN,47081,likely-r
Roque,De La Fuente,Ind,64542,5,3,,,,0.0005,TN,47081,likely-r
Alyson,Kennedy,Ind,65352,4,2,,,,0.0004,TN,47081,likely-r
Gloria,La Riva,Ind,7623,4,4,,,,0.0004,TN,47081,likely-r
Donald,Trump,GOP,8639,2718,1736,,X,True,0.7374,TN,47083,likely-r
Joe,Biden,Dem,1036,871,458,,,,0.2363,TN,47083,likely-r
Kanye,West,Ind,69343,38,25,,,,0.0103,TN,47083,likely-r
Jo,Jorgensen,Lib,67957,18,9,,,,0.0049,TN,47083,likely-r
Don,Blankenship,Ind,66288,14,9,,,,0.0038,TN,47083,likely-r
Alyson,Kennedy,Ind,65352,13,11,,,,0.0035,TN,47083,likely-r
Gloria,La Riva,Ind,7623,8,4,,,,0.0022,TN,47083,likely-r
Roque,De La Fuente,Ind,64542,3,3,,,,0.0008,TN,47083,likely-r
Howie,Hawkins,Ind,32916,3,1,,,,0.0008,TN,47083,likely-r
Donald,Trump,GOP,8639,6120,4422,,X,True,0.7431,TN,47085,likely-r
Joe,Biden,Dem,1036,2017,1639,,,,0.2449,TN,47085,likely-r
Jo,Jorgensen,Lib,67957,46,23,,,,0.0056,TN,47085,likely-r
Don,Blankenship,Ind,66288,20,14,,,,0.0024,TN,47085,likely-r
Howie,Hawkins,Ind,32916,14,9,,,,0.0017,TN,47085,likely-r
Kanye,West,Ind,69343,14,7,,,,0.0017,TN,47085,likely-r
Alyson,Kennedy,Ind,65352,2,2,,,,0.0002,TN,47085,likely-r
Roque,De La Fuente,Ind,64542,2,1,,,,0.0002,TN,47085,likely-r
Gloria,La Riva,Ind,7623,1,1,,,,0.0001,TN,47085,likely-r
Donald,Trump,GOP,8639,4118,2158,,X,True,0.7738,TN,47087,likely-r
Joe,Biden,Dem,1036,1135,725,,,,0.2133,TN,47087,likely-r
Jo,Jorgensen,Lib,67957,48,17,,,,0.009,TN,47087,likely-r
Kanye,West,Ind,69343,6,3,,,,0.0011,TN,47087,likely-r
Alyson,Kennedy,Ind,65352,5,2,,,,0.0009,TN,47087,likely-r
Don,Blankenship,Ind,66288,4,4,,,,0.0008,TN,47087,likely-r
Roque,De La Fuente,Ind,64542,3,0,,,,0.0006,TN,47087,likely-r
Howie,Hawkins,Ind,32916,3,0,,,,0.0006,TN,47087,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47087,likely-r
Donald,Trump,GOP,8639,18651,13561,,X,True,0.7899,TN,47089,likely-r
Joe,Biden,Dem,1036,4654,3727,,,,0.1971,TN,47089,likely-r
Jo,Jorgensen,Lib,67957,184,100,,,,0.0078,TN,47089,likely-r
Don,Blankenship,Ind,66288,45,25,,,,0.0019,TN,47089,likely-r
Kanye,West,Ind,69343,35,19,,,,0.0015,TN,47089,likely-r
Howie,Hawkins,Ind,32916,20,12,,,,0.0008,TN,47089,likely-r
Roque,De La Fuente,Ind,64542,11,9,,,,0.0005,TN,47089,likely-r
Alyson,Kennedy,Ind,65352,10,7,,,,0.0004,TN,47089,likely-r
Gloria,La Riva,Ind,7623,3,3,,,,0.0001,TN,47089,likely-r
Donald,Trump,GOP,8639,6468,4343,,X,True,0.8293,TN,47091,likely-r
Joe,Biden,Dem,1036,1246,950,,,,0.1598,TN,47091,likely-r
Jo,Jorgensen,Lib,67957,45,29,,,,0.0058,TN,47091,likely-r
Don,Blankenship,Ind,66288,13,9,,,,0.0017,TN,47091,likely-r
Howie,Hawkins,Ind,32916,12,9,,,,0.0015,TN,47091,likely-r
Kanye,West,Ind,69343,10,6,,,,0.0013,TN,47091,likely-r
Alyson,Kennedy,Ind,65352,3,2,,,,0.0004,TN,47091,likely-r
Roque,De La Fuente,Ind,64542,2,2,,,,0.0003,TN,47091,likely-r
Gloria,La Riva,Ind,7623,0,0,,,,0.0,TN,47091,likely-r
Donald,Trump,GOP,8639,124540,94321,,X,True,0.5651,TN,47093,likely-r
Joe,Biden,Dem,1036,91422,76453,,,,0.4148,TN,47093,likely-r
Jo,Jorgensen,Lib,67957,2879,1780,,,,0.0131,TN,47093,likely-r
Kanye,West,Ind,69343,468,255,,,,0.0021,TN,47093,likely-r
Howie,Hawkins,Ind,32916,414,271,,,,0.0019,TN,47093,likely-r
Don,Blankenship,Ind,66288,361,237,,,,0.0016,TN,47093,likely-r
Roque,De La Fuente,Ind,64542,126,88,,,,0.0006,TN,47093,likely-r
Alyson,Kennedy,Ind,65352,102,69,,,,0.0005,TN,47093,likely-r
Gloria,La Riva,Ind,7623,89,55,,,,0.0004,TN,47093,likely-r
Donald,Trump,GOP,8639,1492,0,,X,True,0.7335,TN,47095,likely-r
Joe,Biden,Dem,1036,526,0,,,,0.2586,TN,47095,likely-r
Jo,Jorgensen,Lib,67957,9,0,,,,0.0044,TN,47095,likely-r
Kanye,West,Ind,69343,5,0,,,,0.0025,TN,47095,likely-r
Gloria,La Riva,Ind,7623,1,0,,,,0.0005,TN,47095,likely-r
Don,Blankenship,Ind,66288,1,0,,,,0.0005,TN,47095,likely-r
Roque,De La Fuente,Ind,64542,0,0,,,,0.0,TN,47095,likely-r
Howie,Hawkins,Ind,32916,0,0,,,,0.0,TN,47095,likely-r
Alyson,Kennedy,Ind,65352,0,0,,,,0.0,TN,47095,likely-r
Donald,Trump,GOP,8639,5674,4141,,X,True,0.6329,TN,47097,likely-r
Joe,Biden,Dem,1036,3193,2445,,,,0.3562,TN,47097,likely-r
Jo,Jorgensen,Lib,67957,49,33,,,,0.0055,TN,47097,likely-r
Kanye,West,Ind,69343,18,11,,,,0.002,TN,47097,likely-r
Howie,Hawkins,Ind,32916,11,8,,,,0.0012,TN,47097,likely-r
Don,Blankenship,Ind,66288,9,4,,,,0.001,TN,47097,likely-r
Alyson,Kennedy,Ind,65352,7,4,,,,0.0008,TN,47097,likely-r
